timestamp,,power,error
49:03.4,152.00,0.000944,-0.008056
49:04.4,153.00,0.000944,-0.008056
49:05.4,154.00,0.000944,-0.008056
49:06.4,155.00,0.000944,-0.008056
49:07.4,156.00,0.000944,-0.008056
49:08.4,157.00,0.000944,-0.008056
49:09.4,158.00,0.000944,-0.008056
49:10.5,159.00,0.000944,-0.008056
49:11.5,160.00,0.000944,-0.008056
49:12.5,161.00,0.000944,-0.008056
49:13.5,162.00,0.000944,-0.008056
49:14.5,163.00,0.000944,-0.008056
49:15.6,164.00,0.000944,-0.008056
49:16.6,165.00,0.000944,-0.008056
49:17.6,166.00,0.000944,-0.008056
49:18.6,167.00,0.000944,-0.008056
49:19.6,168.00,0.000944,-0.008056
49:20.7,169.00,0.000944,-0.008056
49:21.7,170.00,0.000944,-0.008056
49:22.7,171.00,0.000944,-0.008056
49:23.7,172.00,0.000944,-0.008056
49:24.7,173.00,0.000944,-0.008056
49:25.8,174.00,0.000944,-0.008056
49:26.8,175.00,0.000944,-0.008056
49:27.8,176.00,0.000944,-0.008056
49:28.8,177.00,0.000944,-0.008056
49:29.8,178.00,0.000944,-0.008056
49:30.8,179.00,0.000944,-0.008056
49:31.8,180.00,0.000944,-0.008056
49:32.8,181.00,0.000944,-0.008056
49:33.9,182.00,0.000944,-0.008056
49:34.9,183.00,0.000944,-0.008056
49:35.9,184.00,0.000944,-0.008056
49:36.9,185.00,0.000944,-0.008056
49:37.9,186.00,0.000944,-0.008056
49:39.0,187.00,0.000944,-0.008056
49:40.0,188.00,0.000944,-0.008056
49:41.0,189.00,0.000944,-0.008056
49:42.0,190.00,0.000944,-0.008056
49:43.0,191.00,0.000944,-0.008056
49:44.0,192.00,0.000944,-0.008056
49:45.0,193.00,0.000944,-0.008056
49:46.0,194.00,0.000944,-0.008056
49:47.1,195.00,0.000944,-0.008056
49:48.1,196.00,0.000944,-0.008056
49:49.1,197.00,0.000944,-0.008056
49:50.1,198.00,0.000944,-0.008056
49:51.1,199.00,0.000944,-0.008056
49:52.2,200.00,0.000944,-0.008056
49:53.2,201.00,0.000944,-0.008056
49:54.2,202.00,0.000944,-0.008056
49:55.2,203.00,0.000944,-0.008056
49:56.2,204.00,0.000944,-0.008056
49:57.2,205.00,0.000944,-0.008056
49:58.2,206.00,0.000944,-0.008056
49:59.2,207.00,0.000944,-0.008056
50:00.3,208.00,0.000944,-0.008056
50:01.3,209.00,0.000944,-0.008056
50:02.3,210.00,0.000944,-0.008056
50:03.3,211.00,0.000944,-0.008056
50:04.3,212.00,0.000944,-0.008056
50:05.4,213.00,0.000944,-0.008056
50:06.4,214.00,0.000944,-0.008056
50:07.4,215.00,0.000944,-0.008056
50:08.4,216.00,0.000944,-0.008056
50:09.4,217.00,0.000945,-0.008055
50:10.4,218.00,0.000944,-0.008056
50:11.4,219.00,0.000944,-0.008056
50:12.4,220.00,0.000944,-0.008056
50:13.5,221.00,0.000944,-0.008056
50:14.5,222.00,0.000944,-0.008056
50:15.5,223.00,0.000944,-0.008056
50:16.5,224.00,0.000944,-0.008056
50:17.5,225.00,0.000944,-0.008056
50:18.6,226.00,0.000944,-0.008056
50:19.6,227.00,0.000944,-0.008056
50:20.6,228.00,0.000944,-0.008056
50:21.6,229.00,0.000944,-0.008056
50:22.6,230.00,0.000944,-0.008056
50:23.6,231.00,0.000944,-0.008056
50:24.6,232.00,0.000944,-0.008056
50:25.7,233.00,0.000944,-0.008056
50:26.7,234.00,0.000944,-0.008056
50:27.7,235.00,0.000944,-0.008056
50:28.7,236.00,0.000944,-0.008056
50:29.7,237.00,0.000944,-0.008056
50:30.7,238.00,0.000944,-0.008056
50:31.8,239.00,0.000944,-0.008056
50:32.8,240.00,0.000944,-0.008056
50:33.8,241.00,0.000944,-0.008056
50:34.8,242.00,0.000944,-0.008056
50:35.8,243.00,0.000944,-0.008056
50:36.8,244.00,0.000944,-0.008056
50:37.8,245.00,0.000944,-0.008056
50:38.9,246.00,0.000944,-0.008056
50:39.9,247.00,0.000944,-0.008056
50:40.9,248.00,0.000944,-0.008056
50:41.9,249.00,0.000944,-0.008056
50:42.9,250.00,0.000944,-0.008056
50:43.9,251.00,0.000944,-0.008056
50:44.9,252.00,0.000944,-0.008056
50:46.0,253.00,0.000944,-0.008056
50:47.0,254.00,0.000944,-0.008056
50:48.0,255.00,0.000944,-0.008056
50:49.0,256.00,0.000944,-0.008056
50:50.0,257.00,0.000944,-0.008056
50:51.0,258.00,0.000944,-0.008056
50:52.1,259.00,0.000944,-0.008056
50:53.1,260.00,0.000944,-0.008056
50:54.1,261.00,0.000944,-0.008056
50:55.1,262.00,0.000944,-0.008056
50:56.1,263.00,0.000944,-0.008056
50:57.2,264.00,0.000944,-0.008056
50:58.2,265.00,0.000944,-0.008056
50:59.2,266.00,0.000944,-0.008056
51:00.2,267.00,0.000944,-0.008056
51:01.2,268.00,0.000944,-0.008056
51:02.2,269.00,0.000944,-0.008056
51:03.3,270.00,0.000944,-0.008056
51:04.3,271.00,0.000944,-0.008056
51:05.3,272.00,0.000944,-0.008056
51:06.3,273.00,0.000944,-0.008056
51:07.4,274.00,0.000944,-0.008056
51:08.4,275.00,0.000944,-0.008056
51:09.4,276.00,0.000945,-0.008055
51:10.4,277.00,0.000944,-0.008056
51:11.4,278.00,0.000944,-0.008056
51:12.4,279.00,0.000944,-0.008056
51:13.5,280.00,0.000944,-0.008056
51:14.5,281.00,0.000944,-0.008056
51:15.5,282.00,0.000944,-0.008056
51:16.5,283.00,0.000944,-0.008056
51:17.5,284.00,0.000944,-0.008056
51:18.6,285.00,0.000944,-0.008056
51:19.6,286.00,0.000944,-0.008056
51:20.6,287.00,0.000944,-0.008056
51:21.6,288.00,0.000944,-0.008056
51:22.6,289.00,0.000944,-0.008056
51:23.6,290.00,0.000945,-0.008055
51:24.7,291.00,0.000944,-0.008056
51:25.7,292.00,0.000944,-0.008056
51:26.7,293.00,0.000945,-0.008055
51:27.7,294.00,0.000944,-0.008056
51:28.7,295.00,0.000945,-0.008055
51:29.7,296.00,0.000944,-0.008056
51:30.7,297.00,0.000944,-0.008056
51:31.8,298.00,0.000945,-0.008055
51:32.8,299.00,0.000944,-0.008056
51:33.8,300.00,0.000944,-0.008056
51:34.8,301.00,0.000944,-0.008056
51:35.8,302.00,0.000944,-0.008056
51:36.8,303.00,0.000944,-0.008056
51:37.8,304.00,0.000944,-0.008056
51:38.9,305.00,0.000944,-0.008056
51:39.9,306.00,0.000945,-0.008055
51:40.9,307.00,0.000945,-0.008055
51:41.9,308.00,0.000944,-0.008056
51:42.9,309.00,0.000944,-0.008056
51:43.9,310.00,0.000944,-0.008056
51:44.9,311.00,0.000945,-0.008055
51:46.0,312.00,0.000944,-0.008056
51:47.0,313.00,0.000944,-0.008056
51:48.0,314.00,0.000944,-0.008056
51:49.0,315.00,0.000944,-0.008056
51:50.1,316.00,0.000944,-0.008056
51:51.1,317.00,0.000945,-0.008055
51:52.1,318.00,0.000944,-0.008056
51:53.1,319.00,0.000944,-0.008056
51:54.2,320.00,0.000944,-0.008056
51:55.2,321.00,0.000944,-0.008056
51:56.2,322.00,0.000944,-0.008056
51:57.2,323.00,0.000944,-0.008056
51:58.2,324.00,0.000944,-0.008056
51:59.3,325.00,0.000945,-0.008055
52:00.3,326.00,0.000944,-0.008056
52:01.3,327.00,0.000944,-0.008056
52:02.3,328.00,0.000944,-0.008056
52:03.3,329.00,0.000944,-0.008056
52:04.4,330.00,0.000945,-0.008055
52:05.4,331.00,0.000945,-0.008055
